timestamp,region,subba-name,parent,parent-name,demand,value-units,supply
2024-06-02T13,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9991,megawatthours,
2024-06-02T12,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9892,megawatthours,
2024-06-02T11,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9730,megawatthours,
2024-06-02T10,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10109,megawatthours,
2024-06-02T09,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10578,megawatthours,
2024-06-02T08,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11366,megawatthours,
2024-06-02T07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12260,megawatthours,
2024-06-02T06,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12605,megawatthours,
2024-06-02T05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12945,megawatthours,
2024-06-02T04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12703,megawatthours,
2024-06-02T03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12191,megawatthours,
2024-06-02T02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11335,megawatthours,
2024-06-02T01,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10722,megawatthours,
2024-06-02T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9809,megawatthours,
2024-06-01T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9122,megawatthours,
2024-06-01T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8858,megawatthours,
2024-06-01T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8766,megawatthours,
2024-06-01T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9014,megawatthours,
2024-06-01T19,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9285,megawatthours,
2024-06-01T18,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9705,megawatthours,
2024-06-01T17,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10269,megawatthours,
2024-06-01T16,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10712,megawatthours,
2024-06-01T15,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10297,megawatthours,
2024-06-01T14,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10612,megawatthours,
2024-06-01T13,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10368,megawatthours,
2024-06-01T12,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10527,megawatthours,
2024-06-01T11,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10919,megawatthours,
2024-06-01T10,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11209,megawatthours,
2024-06-01T09,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11473,megawatthours,
2024-06-01T08,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12005,megawatthours,
2024-06-01T07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12993,megawatthours,
2024-06-01T06,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14001,megawatthours,
2024-06-01T05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14460,megawatthours,
2024-06-01T04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14772,megawatthours,
2024-06-01T03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14564,megawatthours,
2024-06-01T02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13874,megawatthours,
2024-06-01T01,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13330,megawatthours,
2024-06-01T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12906,megawatthours,
